side	keyword	normalized_keyword	entity_id	display_name	matched_field	matched_text	match_method
source	vocal	vocal	ENT_04D49CF935AB501DEFDA	turbulence caused by incomplete or loose adduction of the vocal folds	display_name	turbulence caused by incomplete or loose adduction of the vocal folds	normalized_substring
source	voice	voice	ENT_051D119D8ED434FABB6D	degree of voice change	aliases	degree of voice change	normalized_substring
source	voice	voice	ENT_051D119D8ED434FABB6D	degree of voice change	display_name	degree of voice change	normalized_substring
source	acoustic	acoustic	ENT_05954EA24A4637EA8FA3	acoustic features such as pitch and shimmer	aliases	acoustic features such as pitch and shimmer	normalized_substring
source	acoustic	acoustic	ENT_05954EA24A4637EA8FA3	acoustic features such as pitch and shimmer	display_name	acoustic features such as pitch and shimmer	normalized_substring
source	voice	voice	ENT_05FC88A8B995482ABE7A	voice qualities	aliases	voice qualities	normalized_substring
source	voice	voice	ENT_05FC88A8B995482ABE7A	voice qualities	display_name	voice qualities	normalized_substring
source	voice	voice	ENT_061E660221D45A4A72CD	occupational voice disorder	aliases	occupational voice disorder	normalized_substring
source	voice	voice	ENT_061E660221D45A4A72CD	occupational voice disorder	display_name	occupational voice disorder	normalized_substring
source	vocal	vocal	ENT_073CDFF2564BA9AA9554	left vocal cord palsy	aliases	left vocal cord palsy	normalized_substring
source	vocal	vocal	ENT_073CDFF2564BA9AA9554	left vocal cord palsy	display_name	left vocal cord palsy	normalized_substring
source	voice	voice	ENT_077D94FA90A344E2B4F2	In Our Own Voice-family	aliases	In Our Own Voice-family	normalized_substring
source	voice	voice	ENT_077D94FA90A344E2B4F2	In Our Own Voice-family	display_name	In Our Own Voice-family	normalized_substring
source	acoustic	acoustic	ENT_085E2B2AC3E8DD8EC895	voice acoustic clinical detection	aliases	voice acoustic clinical detection	normalized_substring
source	acoustic	acoustic	ENT_085E2B2AC3E8DD8EC895	voice acoustic clinical detection	display_name	voice acoustic clinical detection	normalized_substring
source	voice	voice	ENT_085E2B2AC3E8DD8EC895	voice acoustic clinical detection	aliases	voice acoustic clinical detection	normalized_substring
source	voice	voice	ENT_085E2B2AC3E8DD8EC895	voice acoustic clinical detection	display_name	voice acoustic clinical detection	normalized_substring
source	sound	sound	ENT_09DDA63A138084A9FE17	ultrasound	aliases	Ultrasound	normalized_substring
source	sound	sound	ENT_09DDA63A138084A9FE17	ultrasound	aliases	ultrasound	normalized_substring
source	sound	sound	ENT_09DDA63A138084A9FE17	ultrasound	display_name	ultrasound	normalized_substring
source	dysphonia	dysphonia	ENT_09F90B718E95ECD5D3E9	FD	aliases	functional dysphonia	normalized_substring
source	vocal	vocal	ENT_0A0A17429B9FCFD5FBA4	integrity of vocal mucosa	aliases	integrity of vocal mucosa	normalized_substring
source	vocal	vocal	ENT_0A0A17429B9FCFD5FBA4	integrity of vocal mucosa	display_name	integrity of vocal mucosa	normalized_substring
source	voice	voice	ENT_0A0A51D123C346D862FD	simple voice assessment	aliases	simple voice assessment	normalized_substring
source	voice	voice	ENT_0A0A51D123C346D862FD	simple voice assessment	display_name	simple voice assessment	normalized_substring
source	voice	voice	ENT_0A152555DF2963B8DCF1	voice-related quality of life(V-RQOL)	aliases	voice-related quality of life(V-RQOL)	normalized_substring
source	voice	voice	ENT_0A152555DF2963B8DCF1	voice-related quality of life(V-RQOL)	display_name	voice-related quality of life(V-RQOL)	normalized_substring
source	voice	voice	ENT_0A53EE9BDD18B329328E	voice features	aliases	voice features	normalized_substring
source	voice	voice	ENT_0A53EE9BDD18B329328E	voice features	display_name	voice features	normalized_substring
source	voice	voice	ENT_0A6482193DB0146106AA	recovery of patients' voices	aliases	recovery of patients' voices	normalized_substring
source	voice	voice	ENT_0A6482193DB0146106AA	recovery of patients' voices	display_name	recovery of patients' voices	normalized_substring
source	vocal	vocal	ENT_0A7E51123C8ECE90DE66	vocal fold polyp	aliases	vocal fold polyp	normalized_substring
source	vocal	vocal	ENT_0A7E51123C8ECE90DE66	vocal fold polyp	display_name	vocal fold polyp	normalized_substring
source	voice	voice	ENT_0A84BD572491B4E84F65	voice problem	aliases	voice problem	normalized_substring
source	voice	voice	ENT_0A84BD572491B4E84F65	voice problem	display_name	voice problem	normalized_substring
source	voice	voice	ENT_0AA44B6C524EFCAF0D18	change in voice	aliases	change in voice	normalized_substring
source	voice	voice	ENT_0AA44B6C524EFCAF0D18	change in voice	display_name	change in voice	normalized_substring
source	vocal	vocal	ENT_0AB194199E75C2EB2F6C	Lack of vocal warm-up before rehearsals or performances	aliases	Lack of vocal warm-up before rehearsals or performances	normalized_substring
source	vocal	vocal	ENT_0AB194199E75C2EB2F6C	Lack of vocal warm-up before rehearsals or performances	display_name	Lack of vocal warm-up before rehearsals or performances	normalized_substring
source	voice	voice	ENT_0B21D242ECC44CA371B9	quality of voice	aliases	quality of voice	normalized_substring
source	voice	voice	ENT_0B21D242ECC44CA371B9	quality of voice	display_name	quality of voice	normalized_substring
source	voice	voice	ENT_0B80052CD17D84E6EE5C	aspects of voice	aliases	aspects of voice	normalized_substring
source	voice	voice	ENT_0B80052CD17D84E6EE5C	aspects of voice	display_name	aspects of voice	normalized_substring
source	voice	voice	ENT_0BBAA28F9CF87FECD439	VHI	aliases	voice handicap index	normalized_substring
source	voice	voice	ENT_0BC363B9EC01CE4A575B	prolonged or inappropriate use of the voice	aliases	prolonged or inappropriate use of the voice	normalized_substring
source	voice	voice	ENT_0BC363B9EC01CE4A575B	prolonged or inappropriate use of the voice	display_name	prolonged or inappropriate use of the voice	normalized_substring
source	voice	voice	ENT_0BD88C2E11C1E3EF086C	integrated approach to optimal voice care and production	aliases	integrated approach to optimal voice care and production	normalized_substring
source	voice	voice	ENT_0BD88C2E11C1E3EF086C	integrated approach to optimal voice care and production	display_name	integrated approach to optimal voice care and production	normalized_substring
source	voice	voice	ENT_0C143BD17B95020DE162	voice	aliases	voice	normalized_substring
source	voice	voice	ENT_0C143BD17B95020DE162	voice	display_name	voice	normalized_substring
source	vocal	vocal	ENT_0C19CC1A305313255D28	excessive use of vocal ability	aliases	excessive use of vocal ability	normalized_substring
source	vocal	vocal	ENT_0C19CC1A305313255D28	excessive use of vocal ability	display_name	excessive use of vocal ability	normalized_substring
source	voice	voice	ENT_0C249675832EB9B34C0A	main voice parameters	aliases	main voice parameters	normalized_substring
source	voice	voice	ENT_0C249675832EB9B34C0A	main voice parameters	display_name	main voice parameters	normalized_substring
source	voice	voice	ENT_0C27103975674C0EB23E	Voice training	aliases	Voice training	normalized_substring
source	voice	voice	ENT_0C27103975674C0EB23E	Voice training	aliases	voice training	normalized_substring
source	voice	voice	ENT_0C27103975674C0EB23E	Voice training	display_name	Voice training	normalized_substring
source	voice	voice	ENT_0C61E2B8591489C2F132	parameter values of voice	aliases	parameter values of voice	normalized_substring
source	voice	voice	ENT_0C61E2B8591489C2F132	parameter values of voice	display_name	parameter values of voice	normalized_substring
source	sound	sound	ENT_0D0472D92CA5C8B8B6A5	multiple speech sound disorders	aliases	multiple speech sound disorders	normalized_substring
source	sound	sound	ENT_0D0472D92CA5C8B8B6A5	multiple speech sound disorders	display_name	multiple speech sound disorders	normalized_substring
source	acoustic	acoustic	ENT_0D37B567574AF1617D5B	integration of both clinical and acoustic predictors	aliases	integration of both clinical and acoustic predictors	normalized_substring
source	acoustic	acoustic	ENT_0D37B567574AF1617D5B	integration of both clinical and acoustic predictors	display_name	integration of both clinical and acoustic predictors	normalized_substring
source	voice	voice	ENT_0D43CB01AA9F4E0483F8	voice of PD patients	aliases	voice of PD patients	normalized_substring
source	voice	voice	ENT_0D43CB01AA9F4E0483F8	voice of PD patients	display_name	voice of PD patients	normalized_substring
source	acoustic	acoustic	ENT_0D592A643370D8F1E14A	advanced acoustic analysis	aliases	advanced acoustic analysis	normalized_substring
source	acoustic	acoustic	ENT_0D592A643370D8F1E14A	advanced acoustic analysis	display_name	advanced acoustic analysis	normalized_substring
source	voice	voice	ENT_0D5B7C4731C1BEBB91F9	voice	aliases	voice	normalized_substring
source	voice	voice	ENT_0D5B7C4731C1BEBB91F9	voice	display_name	voice	normalized_substring
source	voice	voice	ENT_0D8940564FB80EC6FB3A	perceived overall severity of voice quality	aliases	perceived overall severity of voice quality	normalized_substring
source	voice	voice	ENT_0D8940564FB80EC6FB3A	perceived overall severity of voice quality	display_name	perceived overall severity of voice quality	normalized_substring
source	vocal	vocal	ENT_0DA1FA7E044E5AD76CC0	Vocal fold surgery under general anesthesia	aliases	Vocal fold surgery under general anesthesia	normalized_substring
source	vocal	vocal	ENT_0DA1FA7E044E5AD76CC0	Vocal fold surgery under general anesthesia	display_name	Vocal fold surgery under general anesthesia	normalized_substring
source	voice	voice	ENT_0DAF0F2044C7C614C879	teacher's voice ailments	aliases	teacher's voice ailments	normalized_substring
source	voice	voice	ENT_0DAF0F2044C7C614C879	teacher's voice ailments	display_name	teacher's voice ailments	normalized_substring
source	voice	voice	ENT_0E38D3A5B422E721C316	voice pathology	aliases	voice pathology	normalized_substring
source	voice	voice	ENT_0E38D3A5B422E721C316	voice pathology	display_name	voice pathology	normalized_substring
source	voice	voice	ENT_0E8141D5965243BF9BC4	voice that is habitually aspirated	aliases	voice that is habitually aspirated	normalized_substring
source	voice	voice	ENT_0E8141D5965243BF9BC4	voice that is habitually aspirated	display_name	voice that is habitually aspirated	normalized_substring
source	voice	voice	ENT_0ED9C8DA78A12DFCCF51	fused models combining voice-derived biomarkers with conventional risk factors	aliases	fused models combining voice-derived biomarkers with conventional risk factors	normalized_substring
source	voice	voice	ENT_0ED9C8DA78A12DFCCF51	fused models combining voice-derived biomarkers with conventional risk factors	display_name	fused models combining voice-derived biomarkers with conventional risk factors	normalized_substring
source	vocal	vocal	ENT_0F1B881C5A7686C73B99	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	aliases	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	normalized_substring
source	vocal	vocal	ENT_0F1B881C5A7686C73B99	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	display_name	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	normalized_substring
source	voice	voice	ENT_0F1B881C5A7686C73B99	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	aliases	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	normalized_substring
source	voice	voice	ENT_0F1B881C5A7686C73B99	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	display_name	Poor vocal hygiene via factors such as smoking, excessive alcohol intake, excessive social voice usage, physical deconditioning, poor hydration, and unattended reflux or allergy control	normalized_substring
source	acoustic	acoustic	ENT_0F235D3F1023114F741D	acoustic assessments and interventions	aliases	acoustic assessments and interventions	normalized_substring
source	acoustic	acoustic	ENT_0F235D3F1023114F741D	acoustic assessments and interventions	display_name	acoustic assessments and interventions	normalized_substring
source	voice	voice	ENT_0F8206DB390B81B2D254	143 (1.18%) voice-features	aliases	143 (1.18%) voice-features	normalized_substring
source	voice	voice	ENT_0F8206DB390B81B2D254	143 (1.18%) voice-features	display_name	143 (1.18%) voice-features	normalized_substring
source	voice	voice	ENT_0FBD9B50B6DCF519E0A2	subjective evaluation of self voice problems	aliases	subjective evaluation of self voice problems	normalized_substring
source	voice	voice	ENT_0FBD9B50B6DCF519E0A2	subjective evaluation of self voice problems	display_name	subjective evaluation of self voice problems	normalized_substring
source	acoustic	acoustic	ENT_0FBD9FA64EEAFB142387	passive acoustic mapping	aliases	passive acoustic mapping	normalized_substring
source	acoustic	acoustic	ENT_0FBD9FA64EEAFB142387	passive acoustic mapping	display_name	passive acoustic mapping	normalized_substring
source	vocal	vocal	ENT_1023601F32321863A088	vocal cord edema	aliases	vocal cord edema	normalized_substring
source	vocal	vocal	ENT_1023601F32321863A088	vocal cord edema	display_name	vocal cord edema	normalized_substring
source	vocal	vocal	ENT_109E02B2FBEBEB31C61A	vocal cord palsy	aliases	vocal cord palsy	normalized_substring
source	vocal	vocal	ENT_109E02B2FBEBEB31C61A	vocal cord palsy	display_name	vocal cord palsy	normalized_substring
source	vocal	vocal	ENT_10D35B04B0A4EA94DAD9	children with vocal cord hyperplasia	aliases	children with vocal cord hyperplasia	normalized_substring
source	vocal	vocal	ENT_10D35B04B0A4EA94DAD9	children with vocal cord hyperplasia	display_name	children with vocal cord hyperplasia	normalized_substring
source	voice	voice	ENT_11CE71C2BF04E67B50D7	voice samples	aliases	voice samples	normalized_substring
source	voice	voice	ENT_11CE71C2BF04E67B50D7	voice samples	display_name	voice samples	normalized_substring
source	sound	sound	ENT_128456AEE7CCAE572F9F	percutaneous ultrasound-guided aspiration	aliases	percutaneous ultrasound-guided aspiration	normalized_substring
source	sound	sound	ENT_128456AEE7CCAE572F9F	percutaneous ultrasound-guided aspiration	display_name	percutaneous ultrasound-guided aspiration	normalized_substring
source	sound	sound	ENT_132A415F71A7EBC5A53B	rougher quality to the sound	aliases	rougher quality to the sound	normalized_substring
source	sound	sound	ENT_132A415F71A7EBC5A53B	rougher quality to the sound	display_name	rougher quality to the sound	normalized_substring
source	voice	voice	ENT_13AC5BED0151875AC732	Voice and deglutition function	aliases	Voice and deglutition function	normalized_substring
source	voice	voice	ENT_13AC5BED0151875AC732	Voice and deglutition function	display_name	Voice and deglutition function	normalized_substring
source	voice	voice	ENT_14AD72220C6A8B9C2C57	12,072 voice-features	aliases	12,072 voice-features	normalized_substring
source	voice	voice	ENT_14AD72220C6A8B9C2C57	12,072 voice-features	display_name	12,072 voice-features	normalized_substring
source	voice	voice	ENT_15CC7ED643D1779C9AC3	normal and pathological voices	aliases	normal and pathological voices	normalized_substring
source	voice	voice	ENT_15CC7ED643D1779C9AC3	normal and pathological voices	display_name	normal and pathological voices	normalized_substring
source	acoustic	acoustic	ENT_15DA628217CE764F2EA9	acoustic voice quality index	aliases	acoustic voice quality index	normalized_substring
source	acoustic	acoustic	ENT_15DA628217CE764F2EA9	acoustic voice quality index	display_name	acoustic voice quality index	normalized_substring
source	voice	voice	ENT_15DA628217CE764F2EA9	acoustic voice quality index	aliases	acoustic voice quality index	normalized_substring
source	voice	voice	ENT_15DA628217CE764F2EA9	acoustic voice quality index	display_name	acoustic voice quality index	normalized_substring
source	voice	voice	ENT_15DA7C552B40DAF249D4	voice quality and intensity and an increase in speech rate and tongue movements	aliases	voice quality and intensity and an increase in speech rate and tongue movements	normalized_substring
source	voice	voice	ENT_15DA7C552B40DAF249D4	voice quality and intensity and an increase in speech rate and tongue movements	display_name	voice quality and intensity and an increase in speech rate and tongue movements	normalized_substring
source	acoustic	acoustic	ENT_15EDB97A9621062C6927	acoustic parameters relevant to speech disorders	aliases	acoustic parameters relevant to speech disorders	normalized_substring
source	acoustic	acoustic	ENT_15EDB97A9621062C6927	acoustic parameters relevant to speech disorders	display_name	acoustic parameters relevant to speech disorders	normalized_substring
source	voice	voice	ENT_160E32F66BAD55DF73D6	high-pitched voice	aliases	high pitched voice	normalized_substring
source	voice	voice	ENT_160E32F66BAD55DF73D6	high-pitched voice	aliases	high-pitched voice	normalized_substring
source	voice	voice	ENT_160E32F66BAD55DF73D6	high-pitched voice	display_name	high-pitched voice	normalized_substring
source	vocal	vocal	ENT_162BD592732956AE5E25	vocal recovery	aliases	vocal recovery	normalized_substring
source	vocal	vocal	ENT_162BD592732956AE5E25	vocal recovery	display_name	vocal recovery	normalized_substring
source	dysarthria	dysarthria	ENT_16C2F7523F01A93D7768	Hypokinetic dysarthria in Parkinson's disease (PD)	aliases	Hypokinetic dysarthria in Parkinson's disease (PD)	normalized_substring
source	dysarthria	dysarthria	ENT_16C2F7523F01A93D7768	Hypokinetic dysarthria in Parkinson's disease (PD)	display_name	Hypokinetic dysarthria in Parkinson's disease (PD)	normalized_substring
source	voice	voice	ENT_1754E795FC5E3C83C592	196 voice biomarkers	aliases	196 voice biomarkers	normalized_substring
source	voice	voice	ENT_1754E795FC5E3C83C592	196 voice biomarkers	aliases	196 voice-biomarkers	normalized_substring
source	voice	voice	ENT_1754E795FC5E3C83C592	196 voice biomarkers	display_name	196 voice biomarkers	normalized_substring
source	acoustic	acoustic	ENT_176FC114A8939488D320	acoustic signals of a dolphin	aliases	acoustic signals of a dolphin	normalized_substring
source	acoustic	acoustic	ENT_176FC114A8939488D320	acoustic signals of a dolphin	display_name	acoustic signals of a dolphin	normalized_substring
source	sound	sound	ENT_17D06AAB2C0CC171ACB1	sound pressure level (SPL)	aliases	sound pressure level (SPL)	normalized_substring
source	sound	sound	ENT_17D06AAB2C0CC171ACB1	sound pressure level (SPL)	display_name	sound pressure level (SPL)	normalized_substring
source	voice	voice	ENT_17EACA6158CC4E2CFCAE	hoarseness of the voice	aliases	hoarseness of the voice	normalized_substring
source	voice	voice	ENT_17EACA6158CC4E2CFCAE	hoarseness of the voice	display_name	hoarseness of the voice	normalized_substring
source	acoustic	acoustic	ENT_17EC46F5B6871AAD643C	acoustic characteristics of speech	aliases	acoustic characteristics of speech	normalized_substring
source	acoustic	acoustic	ENT_17EC46F5B6871AAD643C	acoustic characteristics of speech	display_name	acoustic characteristics of speech	normalized_substring
source	sound	sound	ENT_184A4CE90175A9488414	high-pitched sounds	aliases	high-pitched sounds	normalized_substring
source	sound	sound	ENT_184A4CE90175A9488414	high-pitched sounds	display_name	high-pitched sounds	normalized_substring
source	voice	voice	ENT_18B3F95FE5F4A9BD984C	voice impairment	aliases	voice impairment	normalized_substring
source	voice	voice	ENT_18B3F95FE5F4A9BD984C	voice impairment	display_name	voice impairment	normalized_substring
source	vocal	vocal	ENT_18C1C17E473B76E68AA3	Nd:YAG laser treatment of vocal cord mucosal diseases	aliases	Nd:YAG laser treatment of vocal cord mucosal diseases	normalized_substring
source	vocal	vocal	ENT_18C1C17E473B76E68AA3	Nd:YAG laser treatment of vocal cord mucosal diseases	display_name	Nd:YAG laser treatment of vocal cord mucosal diseases	normalized_substring
source	sound	sound	ENT_18DC6EDA34ADD5DF1741	ultrasound B or CT-guided percutaneous drainage combined with antibiotic therapy	aliases	ultrasound B or CT-guided percutaneous drainage combined with antibiotic therapy	normalized_substring
source	sound	sound	ENT_18DC6EDA34ADD5DF1741	ultrasound B or CT-guided percutaneous drainage combined with antibiotic therapy	display_name	ultrasound B or CT-guided percutaneous drainage combined with antibiotic therapy	normalized_substring
source	voice	voice	ENT_18ED1628700D27364E5E	voice related distress	aliases	voice related distress	normalized_substring
source	voice	voice	ENT_18ED1628700D27364E5E	voice related distress	display_name	voice related distress	normalized_substring
source	voice	voice	ENT_196CE29A890DBFA86296	Lee Silverman Voice Treatment (LSVT®)	aliases	Lee Silverman Voice Treatment (LSVT)	normalized_substring
source	voice	voice	ENT_196CE29A890DBFA86296	Lee Silverman Voice Treatment (LSVT®)	aliases	Lee Silverman Voice Treatment (LSVT®)	normalized_substring
source	voice	voice	ENT_196CE29A890DBFA86296	Lee Silverman Voice Treatment (LSVT®)	display_name	Lee Silverman Voice Treatment (LSVT®)	normalized_substring
source	vocal	vocal	ENT_1974111CE82BB5C58981	compression of the vocal folds against each other	aliases	compression of the vocal folds against each other	normalized_substring
source	vocal	vocal	ENT_1974111CE82BB5C58981	compression of the vocal folds against each other	display_name	compression of the vocal folds against each other	normalized_substring
source	sound	sound	ENT_1AF071ADAF5A8A59F3E8	sound spectrogram	aliases	sound spectrogram	normalized_substring
source	sound	sound	ENT_1AF071ADAF5A8A59F3E8	sound spectrogram	display_name	sound spectrogram	normalized_substring
source	voice	voice	ENT_1C2A89B2CEFA423EBD28	voice and speech quality	aliases	voice and speech quality	normalized_substring
source	voice	voice	ENT_1C2A89B2CEFA423EBD28	voice and speech quality	display_name	voice and speech quality	normalized_substring
source	sound	sound	ENT_1CAEE399E504FC69AC06	3 MHz pulsed ultrasound	aliases	3 MHz pulsed ultrasound	normalized_substring
source	sound	sound	ENT_1CAEE399E504FC69AC06	3 MHz pulsed ultrasound	display_name	3 MHz pulsed ultrasound	normalized_substring
source	vocal	vocal	ENT_1D695247EBDE033A95F1	vocal efficiency	aliases	vocal efficiency	normalized_substring
source	vocal	vocal	ENT_1D695247EBDE033A95F1	vocal efficiency	display_name	vocal efficiency	normalized_substring
source	sound	sound	ENT_1D90DFEF41FB35369664	carotid artery ultrasound	aliases	carotid artery ultrasound	normalized_substring
source	sound	sound	ENT_1D90DFEF41FB35369664	carotid artery ultrasound	display_name	carotid artery ultrasound	normalized_substring
source	sound	sound	ENT_1EC78579763A246C5627	sound eating regimen and exercise	aliases	sound eating regimen and exercise	normalized_substring
source	sound	sound	ENT_1EC78579763A246C5627	sound eating regimen and exercise	display_name	sound eating regimen and exercise	normalized_substring
source	vocal	vocal	ENT_1F875D83437F07ADB0A5	Ignoring early warning signals of vocal injury	aliases	Ignoring early warning signals of vocal injury	normalized_substring
source	vocal	vocal	ENT_1F875D83437F07ADB0A5	Ignoring early warning signals of vocal injury	display_name	Ignoring early warning signals of vocal injury	normalized_substring
source	voice	voice	ENT_1FCBFC4BE854002C8347	voice duration time	aliases	voice duration time	normalized_substring
source	voice	voice	ENT_1FCBFC4BE854002C8347	voice duration time	display_name	voice duration time	normalized_substring
source	voice	voice	ENT_2000B34CA18268FF6BCF	voice communication	aliases	voice communication	normalized_substring
source	voice	voice	ENT_2000B34CA18268FF6BCF	voice communication	display_name	voice communication	normalized_substring
source	voice	voice	ENT_200AA1F0FAD8E16FCF36	Blom-Singer voice prosthesis	aliases	Blom-Singer voice prosthesis	normalized_substring
source	voice	voice	ENT_200AA1F0FAD8E16FCF36	Blom-Singer voice prosthesis	display_name	Blom-Singer voice prosthesis	normalized_substring
source	acoustic	acoustic	ENT_20498BC5958BF3969E52	difficulty being heard in their acoustic settings	aliases	difficulty being heard in their acoustic settings	normalized_substring
source	acoustic	acoustic	ENT_20498BC5958BF3969E52	difficulty being heard in their acoustic settings	display_name	difficulty being heard in their acoustic settings	normalized_substring
source	voice	voice	ENT_20591D5B7517FEEC559A	prolonged, loud voice use	aliases	prolonged, loud voice use	normalized_substring
source	voice	voice	ENT_20591D5B7517FEEC559A	prolonged, loud voice use	display_name	prolonged, loud voice use	normalized_substring
source	vocal	vocal	ENT_2068E5D3E9A990A357CB	vocal behavior	aliases	vocal behavior	normalized_substring
source	vocal	vocal	ENT_2068E5D3E9A990A357CB	vocal behavior	display_name	vocal behavior	normalized_substring
source	vocal	vocal	ENT_20794663370395E43511	glucose-induced changes in vocal fold elasticity and/or anxiety	aliases	glucose-induced changes in vocal fold elasticity and/or anxiety	normalized_substring
source	vocal	vocal	ENT_20794663370395E43511	glucose-induced changes in vocal fold elasticity and/or anxiety	display_name	glucose-induced changes in vocal fold elasticity and/or anxiety	normalized_substring
source	acoustic	acoustic	ENT_2098F12F88FB7584BF2C	Acoustic analysis	aliases	Acoustic analysis	normalized_substring
source	acoustic	acoustic	ENT_2098F12F88FB7584BF2C	Acoustic analysis	display_name	Acoustic analysis	normalized_substring
source	vocal	vocal	ENT_2099877E3E095BEB911F	pathological sulcus vocalis	aliases	pathological sulcus vocalis	normalized_substring
source	vocal	vocal	ENT_2099877E3E095BEB911F	pathological sulcus vocalis	display_name	pathological sulcus vocalis	normalized_substring
source	vocal	vocal	ENT_209F4C6BA7AA8642C05F	vocal cord carcinoma	aliases	vocal cord carcinoma	normalized_substring
source	vocal	vocal	ENT_209F4C6BA7AA8642C05F	vocal cord carcinoma	display_name	vocal cord carcinoma	normalized_substring
source	vocal	vocal	ENT_20B21F4BF56210C9F6F6	phonation-associated vocal fold alterations	aliases	phonation-associated vocal fold alterations	normalized_substring
source	vocal	vocal	ENT_20B21F4BF56210C9F6F6	phonation-associated vocal fold alterations	display_name	phonation-associated vocal fold alterations	normalized_substring
source	voice	voice	ENT_20DA590850A429240CD4	V	aliases	voice onset time	normalized_substring
source	vocal	vocal	ENT_20F69DBDD5AC6C4ABACA	vocal manifestations of diabetes	aliases	vocal manifestations of diabetes	normalized_substring
source	vocal	vocal	ENT_20F69DBDD5AC6C4ABACA	vocal manifestations of diabetes	display_name	vocal manifestations of diabetes	normalized_substring
source	vocal	vocal	ENT_2124DF97DA8FE82A80DC	improving vocal technique	aliases	improving vocal technique	normalized_substring
source	vocal	vocal	ENT_2124DF97DA8FE82A80DC	improving vocal technique	display_name	improving vocal technique	normalized_substring
source	voice	voice	ENT_212BD61C1403B14351E6	depression (negativeㆍspiritlessㆍworryingㆍtimidㆍdark countenanceㆍlow voice)	aliases	depression (negativeㆍspiritlessㆍworryingㆍtimidㆍdark countenanceㆍlow voice)	normalized_substring
